,,,,,,,,,,,,,
Data,Produto,Humidade (%),Conformidade legal,,,,,,,,,,
25/01/2022,Bacalhau Especial AP Islândia,55.4,NC,,,,,,,,,,
25/01/2022,Bacalhau Graúdo AB,48.1,NC,,,,,,,,,,
23/11/2021,Bacalhau Crescido,49,NC,,,,,,,,,,
20/10/2021,Bacalhau,48.4,NC,,,,,,,,,,
21/09/2021,Bacalhau,50,NC,,,,,,,,,,
25/08/2021,Bacalhau Crescido,52.9,NC,,,,,,,,,,
23/07/2021,Bacalhau Crescido,45.4,C,,,,,,,,,,
28/06/2021,Bacalhau,51,NC,,,,,,,,,,
26/05/2021,Bacalhau Corrente AP,53.4,NC,,,,,,,,,,
20/04/2021,Bacalhau Corrente AP,50.6,NC,,,,,,,,,,
24/03/2021,Bacalhau Crescido AP,48.9,NC,,,,,,,,,,
24/02/2021,Bacalhau Crescido AB,49.4,NC,,,,,,,,,,
26/01/2021,Bacalhau,51.4,NC,,,,,,,,,,
24/09/2020,Bacalhau Corrente AP,46.1,C,,,,,,,,,,
19/08/2020,Bacalhau Crescido AP Islândia,47.7,NC,,,,,,,,,,
22/07/2020,Bacalhau Corrente AP,48.2,NC,,,,,,,,,,
09/06/2020,Bacalhau,47.1,NC,,,,,,,,,,
06/05/2020,Bacalhau,50.4,NC,,,,,,,,,,
14/04/2020,Bacalhau Corrente AP,38.6,C,,,,,,,,,,
18/03/2020,Bacalhau,52.8,NC,,,,,,,,,,
13/02/2020,Bacalhau,52,NC,,,,,,,,,,
10/01/2020,Bacalhau,51.3,NC,,,,,,,,,,
19/12/2019,Bacalhau Corrente AP,50,NC,,,,,,,,,,
21/11/2019,Bacalhau Crescido Islândia,48.6,NC,,,,,,,,,,
30/10/2019,Bacalhau Crescido,52.1,NC,,,,,,,,,,
19/09/2019,Bacalhau,48.4,NC,,,,,,,,,,
21/08/2019,Bacalhau,47.5,NC,,,,,,,,,,
01/04/2019,Bacalhau,48.8,NC,,,,,,,,,,
25/01/2019,Bacalhau Corrente,47.5,NC,,,,,,,,,,
27/12/2018,"Bacalhau Sortido 0,5 a 1kg",42.6,C,,,,,,,,,,
29/11/2018,Bacalhau Corrente AP,51.8,NC,,,,,,,,,,
31/10/2018,Bacalhau Crescido,47.1,NC,,,,,,,,,,
27/09/2018,Bacalhau Crescido AP Islândia,50.9,NC,,,,,,,,,,
29/08/2018,Bacalhau Sortido 1 a 2kg,42.3,C,,,,,,,,,,
20/09/2017,Bacalhau Crescido + AP,47,C,,,,,,,,,,
17/08/2017,Bacalhau Sortido,44,C,,,,,,,,,,
27/07/2017,Bacalhau,47,C,,,,,,,,,,
07/07/2017,Bacalhau Sortido,46,C,,,,,,,,,,
17/05/2017,Bacalhau,47,C,,,,,,,,,,
20/04/2017,Bacalhau Crescido AP Pacífico,46,C,,,,,,,,,,
16/03/2017,Bacalhau Corrente AP,47,C,,,,,,,,,,
16/02/2017,Bacalhau Corrente AP Islândia,47,C,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
