Data,Produto,Razão Não Conformidade,Tipo Não Conformidade,Rejeição (S/N),,,,,,,,
19/08/2021,Bacalhau Graúdo Cura Amarela,Excesso humidade,Major,N,,,,,,,,
16/08/2021,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
16/08/2021,Bacalhau Graúdo,Excesso humidade,Major,N,,,,,,,,
13/08/2021,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
13/08/2021,Bacalhau Sortido 2-3,Excesso humidade,Major,N,,,,,,,,
16/04/2021,Bochechas,Rastreabilidade,Minor,N,,,,,,,,
15/01/2021,Bochechas,Rastreabilidade,Minor,N,,,,,,,,
26/11/2020,Bacalhau Graúdo,Rastreabilidade,Minor,N,,,,,,,,
25/11/2020,Rabos de Bacalhau,Rastreabilidade,Minor,N,,,,,,,,
18/11/2020,Paloco Pacífico Desfiado,Rastreabilidade,Minor,N,,,,,,,,
18/11/2020,Rabos de Bacalhau,Rastreabilidade,Minor,N,,,,,,,,
13/11/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
11/11/2020,Rabos de Bacalhau,Rastreabilidade,Minor,N,,,,,,,,
06/11/2020,Bochechas,Rastreabilidade,Minor,N,,,,,,,,
21/10/2020,Bacalhau Pacífico Desfiado,Rastreabilidade,Minor,N,,,,,,,,
21/09/2020,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
15/07/2020,Bacalhau Especial,Peso,Minor,N,,,,,,,,
12/06/2020,Bacalhau Especial,Rastreabilidade,Minor,N,,,,,,,,
01/06/2020,Bochechas,Rastreabilidade,Minor,N,,,,,,,,
29/05/2020,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
15/05/2020,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
13/05/2020,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
11/05/2020,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
11/05/2020,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
05/05/2020,Bacalhau Especial,Peso,Minor,N,,,,,,,,
05/05/2020,Bacalhau Pacífico Graúdo,Peso,Minor,N,,,,,,,,
07/04/2020,Bacalhau Crescido,Perigo físico,Major,N,,,,,,,,
18/03/2020,Bacalhau Especial,Peso,Minor,N,,,,,,,,
17/03/2020,Bacalhau Sortido 1-2,Peso,Minor,N,,,,,,,,
16/03/2020,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
13/03/2020,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
10/03/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
04/03/2020,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
03/03/2020,Bacalhau Pacífico Crescido,Peso,Minor,N,,,,,,,,
03/03/2020,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
02/03/2020,Bacalhau Pacífico Graúdo,Peso,Minor,N,,,,,,,,
02/03/2020,Bacalhau Corrente,Excesso humidade,Major,N,,,,,,,,
28/02/2020,Bacalhau Especial,Peso,Minor,N,,,,,,,,
26/02/2020,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
26/02/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
24/02/2020,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
21/02/2020,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
21/02/2020,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
19/02/2020,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
19/02/2020,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
18/02/2020,Bacalhau Pacífico Graúdo,Rastreabilidade,Minor,N,,,,,,,,
11/02/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
10/02/2020,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
07/02/2020,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
07/02/2020,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
07/02/2020,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
04/02/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
03/02/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
31/01/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
30/01/2020,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
29/01/2020,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
27/01/2020,Bacalhau Graúdo,Excesso humidade,Major,N,,,,,,,,
24/01/2020,Bacalhau Graúdo,Excesso humidade,Major,N,,,,,,,,
24/01/2020,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
24/01/2020,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
20/01/2020,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
20/01/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
16/01/2020,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
15/01/2020,Bacalhau Graúdo,Excesso humidade,Major,N,,,,,,,,
15/01/2020,Bacalhau Islândia Graúdo,Excesso humidade,Major,N,,,,,,,,
14/01/2020,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
09/01/2020,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
06/01/2020,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
03/01/2020,Bacalhau Islândia Crescido,Excesso humidade,Major,N,,,,,,,,
23/12/2019,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
20/12/2019,Bacalhau Islândia Especial,Excesso humidade,Major,N,,,,,,,,
17/12/2019,Bacalhau Islândia Graúdo,Peso,Minor,N,,,,,,,,
17/12/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
17/12/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
17/12/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
16/12/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
16/12/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
13/12/2019,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
13/12/2019,Bacalhau Especial Cura Amarela,Peso,Minor,N,,,,,,,,
13/12/2019,Postas Bacalhau,Rastreabilidade,Minor,N,,,,,,,,
12/12/2019,Bacalhau Graúdo,Excesso humidade,Major,N,,,,,,,,
12/12/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
12/12/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
11/12/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
11/12/2019,Bacalhau Islândia Crescido,Peso,Minor,N,,,,,,,,
11/12/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
11/12/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
10/12/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
09/12/2019,Bacalhau Islândia Crescido,Peso,Minor,N,,,,,,,,
06/12/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
06/12/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
05/12/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
05/12/2019,Bacalhau Graúdo Cura Amarela,Peso,Minor,N,,,,,,,,
03/12/2019,Bacalhau Especial Cura Amarela,Peso,Minor,N,,,,,,,,
03/12/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
02/12/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
02/12/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
02/12/2019,Bacalhau Graúdo,Empoado,Major,N,,,,,,,,
29/11/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
29/11/2019,Bacalhau Especial Cura Amarela,Peso,Minor,N,,,,,,,,
29/11/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
28/11/2019,Bacalhau Graúdo Cura Amarela,Peso,Minor,N,,,,,,,,
27/11/2019,Bacalhau Especial Cura Amarela,Peso,Minor,N,,,,,,,,
26/11/2019,Bacalhau Graúdo Cura Amarela,Peso,Minor,N,,,,,,,,
26/11/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
25/11/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
25/11/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
22/11/2019,Bacalhau Especial Cura Amarela,Peso,Minor,N,,,,,,,,
22/11/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
22/11/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
22/11/2019,Bacalhau Graúdo,Erro Calibragem,Minor,N,,,,,,,,
19/11/2019,Bacalhau Sortido 1-2,Peso,Minor,N,,,,,,,,
18/11/2019,Bacalhau Desfiado,Rastreabilidade,Minor,N,,,,,,,,
12/11/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
12/11/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
11/11/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
08/11/2019,Paloco Pacífico Desfiado,Rastreabilidade,Minor,N,,,,,,,,
08/11/2019,Samos,Defeitos embalamento,Minor,N,,,,,,,,
07/11/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
04/11/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
29/10/2019,Bacalhau Especial,Rastreabilidade,Minor,N,,,,,,,,
25/10/2019,Bacalhau Desfiado,Defeitos embalamento,Minor,N,,,,,,,,
25/10/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
25/10/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
23/10/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
23/10/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
22/10/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
18/10/2019,Bochechas,Rastreabilidade,Minor,N,,,,,,,,
16/10/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
15/10/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
15/10/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
14/10/2019,Bacalhau Sortido 2-3,Excesso humidade,Major,N,,,,,,,,
09/10/2019,Bochechas,Odor podre,Major,N,,,,,,,,
03/10/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
03/10/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
02/10/2019,Bacalhau Desfiado,Rouge,Major,N,,,,,,,,
02/10/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
27/09/2019,Bacalhau Pacífico Crescido,Peso,Minor,N,,,,,,,,
26/09/2019,Bacalhau Pacífico Corrente,Peso,Minor,N,,,,,,,,
26/09/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
25/09/2019,Bacalhau Islândia Especial,Excesso humidade,Major,N,,,,,,,,
25/09/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
24/09/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
24/09/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
23/09/2019,Paloco Pacífico Desfiado,Defeitos embalamento,Minor,N,,,,,,,,
20/09/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
19/09/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
19/09/2019,Bacalhau Pacífico Corrente,Peso,Minor,N,,,,,,,,
18/09/2019,Bacalhau Especial,Excesso humidade,Major,N,,,,,,,,
12/09/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
11/09/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
10/09/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
06/09/2019,Línguas,Temperatura elevada,Major,N,,,,,,,,
06/09/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
04/09/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
04/09/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
03/09/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
30/08/2019,Bacalhau Especial,Excesso humidade,Major,N,,,,,,,,
27/08/2019,Bacalhau Crescido,Peso,Minor,N,,,,,,,,
27/08/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
23/08/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
22/08/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
22/08/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
19/08/2019,Bacalhau Graúdo,Excesso humidade,Major,N,,,,,,,,
12/08/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
06/08/2019,Bacalhau Pacífico Graúdo,Peso,Minor,N,,,,,,,,
02/08/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
30/07/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
29/07/2019,Paloco Pacífico Desfiado,Rastreabilidade,Minor,N,,,,,,,,
26/07/2019,Bacalhau Islândia Especial,Excesso humidade,Major,N,,,,,,,,
26/07/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
24/07/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
23/07/2019,Bacalhau Graúdo,Peso,Minor,N,,,,,,,,
18/07/2019,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
17/07/2019,Bacalhau Islândia Especial,Peso,Minor,N,,,,,,,,
16/07/2019,Bacalhau Sortido +3,Peso,Minor,N,,,,,,,,
16/07/2019,Bacalhau Crescido,Defeitos escala,Major,N,,,,,,,,
12/07/2019,Bacalhau Crescido,Defeitos escala,Major,N,,,,,,,,
11/07/2019,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
10/07/2019,Bacalhau Sortido 2-3,Peso,Minor,N,,,,,,,,
10/07/2019,Bacalhau Crescido,Excesso humidade,Major,N,,,,,,,,
09/07/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
08/07/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
08/07/2019,Bacalhau Pacífico Corrente,Peso,Minor,N,,,,,,,,
05/07/2019,Bochechas,Temperatura elevada,Major,N,,,,,,,,
04/07/2019,Bacalhau Graúdo,Defeitos escala,Major,N,,,,,,,,
03/07/2019,Bochechas,Rastreabilidade,Minor,N,,,,,,,,
01/07/2019,Bochechas,Rastreabilidade,Minor,N,,,,,,,,
27/06/2019,Bacalhau Especial,Peso,Minor,N,,,,,,,,
26/06/2019,Bacalhau Corrente,Peso,Minor,N,,,,,,,,
