,,,,,,,,,,,
,,,,,,,,,,,
Data,Temperatura Receção Logística (ºC),Conformidade Temp Receção,Conformidade Temp Receção HACCP,NC por Tº elevada (S/N),,,,,,,
31/01/2022,3.60,C,C,N,,,,,,,
28/01/2022,8.60,NC,C,N,,,,,,,
27/01/2022,8.40,NC,C,N,,,,,,,
26/01/2022,7.80,NC,C,N,,,,,,,
25/01/2022,9.20,NC,NC,N,,,,,,,
24/01/2022,4.40,C,C,N,,,,,,,
21/01/2022,10.20,NC,NC,N,,,,,,,
20/01/2022,8.20,NC,C,N,,,,,,,
19/01/2022,8.80,NC,C,N,,,,,,,
18/01/2022,10.00,NC,NC,N,,,,,,,
17/01/2022,3.20,C,C,N,,,,,,,
14/01/2022,9.80,NC,NC,N,,,,,,,
13/01/2022,9.00,NC,C,N,,,,,,,
12/01/2022,9.10,NC,NC,N,,,,,,,
10/01/2022,12.20,NC,NC,N,,,,,,,
07/01/2022,7.60,NC,C,N,,,,,,,
06/01/2022,11.60,NC,NC,N,,,,,,,
05/01/2022,12.30,NC,NC,N,,,,,,,
04/01/2022,6.90,C,C,N,,,,,,,
03/01/2022,5.60,C,C,N,,,,,,,
30/12/2021,7.20,NC,C,N,,,,,,,
29/12/2021,10.40,NC,NC,N,,,,,,,
28/12/2021,6.90,C,C,N,,,,,,,
27/12/2021,11.30,NC,NC,N,,,,,,,
23/12/2021,7.00,C,C,N,,,,,,,
22/12/2021,7.20,NC,C,N,,,,,,,
21/12/2021,8.60,NC,C,N,,,,,,,
20/12/2021,7.00,C,C,N,,,,,,,
17/12/2021,10.40,NC,NC,N,,,,,,,
16/12/2021,7.20,NC,C,N,,,,,,,
15/12/2021,12.80,NC,NC,N,,,,,,,
14/12/2021,6.60,C,C,N,,,,,,,
13/12/2021,5.20,C,C,N,,,,,,,
10/12/2021,7.40,NC,C,N,,,,,,,
09/12/2021,7.40,NC,C,N,,,,,,,
07/12/2021,4.00,C,C,N,,,,,,,
06/12/2021,4.40,C,C,N,,,,,,,
03/12/2021,7.80,NC,C,N,,,,,,,
02/12/2021,2.20,C,C,N,,,,,,,
30/11/2021,2.20,C,C,N,,,,,,,
29/11/2021,3.80,C,C,N,,,,,,,
26/11/2021,7.00,C,C,N,,,,,,,
25/11/2021,9.80,NC,NC,N,,,,,,,
24/11/2021,9.00,NC,C,N,,,,,,,
23/11/2021,7.80,NC,C,N,,,,,,,
22/11/2021,12.20,NC,NC,N,,,,,,,
20/11/2021,12.20,NC,NC,N,,,,,,,
19/11/2021,12.60,NC,NC,N,,,,,,,
18/11/2021,8.40,NC,C,N,,,,,,,
17/11/2021,10.20,NC,NC,N,,,,,,,
16/11/2021,3.80,C,C,N,,,,,,,
15/11/2021,7.00,C,C,N,,,,,,,
12/11/2021,3.60,C,C,N,,,,,,,
11/11/2021,5.60,C,C,N,,,,,,,
10/11/2021,7.00,C,C,N,,,,,,,
09/11/2021,11.80,NC,NC,N,,,,,,,
08/11/2021,8.60,NC,C,N,,,,,,,
05/11/2021,3.60,C,C,N,,,,,,,
04/11/2021,9.80,NC,NC,N,,,,,,,
03/11/2021,7.40,NC,C,N,,,,,,,
02/11/2021,8.60,NC,C,N,,,,,,,
29/10/2021,6.60,C,C,N,,,,,,,
28/10/2021,4.40,C,C,N,,,,,,,
27/10/2021,7.80,NC,C,N,,,,,,,
26/10/2021,4.40,C,C,N,,,,,,,
25/10/2021,7.80,NC,C,N,,,,,,,
22/10/2021,4.80,C,C,N,,,,,,,
21/10/2021,8.00,NC,C,N,,,,,,,
20/10/2021,8.60,NC,C,N,,,,,,,
19/10/2021,7.60,NC,C,N,,,,,,,
18/10/2021,8.20,NC,C,N,,,,,,,
15/10/2021,7.00,C,C,N,,,,,,,
14/10/2021,7.00,C,C,N,,,,,,,
13/10/2021,10.20,NC,NC,N,,,,,,,
12/10/2021,9.40,NC,NC,N,,,,,,,
11/10/2021,11.60,NC,NC,N,,,,,,,
08/10/2021,7.00,C,C,N,,,,,,,
07/10/2021,10.00,NC,NC,N,,,,,,,
06/10/2021,10.00,NC,NC,N,,,,,,,
04/10/2021,9.80,NC,NC,N,,,,,,,
01/10/2021,8.80,NC,C,N,,,,,,,
30/09/2021,8.60,NC,C,N,,,,,,,
29/09/2021,4.60,C,C,N,,,,,,,
28/09/2021,9.40,NC,NC,N,,,,,,,
27/09/2021,7.00,C,C,N,,,,,,,
24/09/2021,10.60,NC,NC,N,,,,,,,
23/09/2021,8.40,NC,C,N,,,,,,,
22/09/2021,7.40,NC,C,N,,,,,,,
21/09/2021,10.60,NC,NC,N,,,,,,,
20/09/2021,10.80,NC,NC,N,,,,,,,
17/09/2021,9.60,NC,NC,N,,,,,,,
16/09/2021,9.40,NC,NC,N,,,,,,,
15/09/2021,10.40,NC,NC,N,,,,,,,
14/09/2021,8.40,NC,C,N,,,,,,,
13/09/2021,6.40,C,C,N,,,,,,,
10/09/2021,8.20,NC,C,N,,,,,,,
09/09/2021,10.60,NC,NC,N,,,,,,,
08/09/2021,11.20,NC,NC,N,,,,,,,
07/09/2021,4.60,C,C,N,,,,,,,
06/09/2021,10.00,NC,NC,N,,,,,,,
03/09/2021,8.40,NC,C,N,,,,,,,
02/09/2021,8.80,NC,C,N,,,,,,,
01/09/2021,8.20,NC,C,N,,,,,,,
30/08/2021,10.00,NC,NC,N,,,,,,,
27/08/2021,8.60,NC,C,N,,,,,,,
26/08/2021,6.60,C,C,N,,,,,,,
25/08/2021,9.00,NC,C,N,,,,,,,
24/08/2021,9.80,NC,NC,N,,,,,,,
23/08/2021,8.80,NC,C,N,,,,,,,
20/08/2021,7.00,C,C,N,,,,,,,
19/08/2021,10.00,NC,NC,N,,,,,,,
18/08/2021,12.60,NC,NC,N,,,,,,,
17/08/2021,11.00,NC,NC,N,,,,,,,
16/08/2021,12.60,NC,NC,N,,,,,,,
13/08/2021,6.80,C,C,N,,,,,,,
12/08/2021,6.00,C,C,N,,,,,,,
11/08/2021,6.80,C,C,N,,,,,,,
10/08/2021,7.80,NC,C,N,,,,,,,
09/08/2021,7.60,NC,C,N,,,,,,,
06/08/2021,7.60,NC,C,N,,,,,,,
05/08/2021,6.60,C,C,N,,,,,,,
04/08/2021,8.60,NC,C,N,,,,,,,
03/08/2021,12.60,NC,NC,N,,,,,,,
30/07/2021,6.40,C,C,N,,,,,,,
28/07/2021,8.60,NC,C,N,,,,,,,
27/07/2021,7.60,NC,C,N,,,,,,,
26/07/2021,9.80,NC,NC,N,,,,,,,
23/07/2021,9.40,NC,NC,N,,,,,,,
22/07/2021,6.20,C,C,N,,,,,,,
21/07/2021,7.80,NC,C,N,,,,,,,
20/07/2021,6.20,C,C,N,,,,,,,
19/07/2021,9.40,NC,NC,N,,,,,,,
16/07/2021,9.60,NC,NC,N,,,,,,,
15/07/2021,9.20,NC,NC,N,,,,,,,
14/07/2021,10.00,NC,NC,N,,,,,,,
13/07/2021,8.60,NC,C,N,,,,,,,
12/07/2021,9.20,NC,NC,N,,,,,,,
09/07/2021,11.00,NC,NC,N,,,,,,,
08/07/2021,7.00,C,C,N,,,,,,,
07/07/2021,7.20,NC,C,N,,,,,,,
06/07/2021,7.60,NC,C,N,,,,,,,
05/07/2021,8.60,NC,C,N,,,,,,,
02/07/2021,8.60,NC,C,N,,,,,,,
01/07/2021,6.00,C,C,N,,,,,,,
30/06/2021,3.80,C,C,N,,,,,,,
29/06/2021,8.40,NC,C,N,,,,,,,
28/06/2021,9.60,NC,NC,N,,,,,,,
25/06/2021,8.60,NC,C,N,,,,,,,
24/06/2021,8.60,NC,C,N,,,,,,,
23/06/2021,8.00,NC,C,N,,,,,,,
22/06/2021,6.80,C,C,N,,,,,,,
21/06/2021,8.20,NC,C,N,,,,,,,
18/06/2021,9.40,NC,NC,N,,,,,,,
17/06/2021,7.80,NC,C,N,,,,,,,
16/06/2021,12.00,NC,NC,N,,,,,,,
15/06/2021,7.80,NC,C,N,,,,,,,
14/06/2021,7.80,NC,C,N,,,,,,,
11/06/2021,9.20,NC,NC,N,,,,,,,
09/06/2021,8.40,NC,C,N,,,,,,,
08/06/2021,8.80,NC,C,N,,,,,,,
04/06/2021,8.80,NC,C,N,,,,,,,
02/06/2021,7.20,NC,C,N,,,,,,,
01/06/2021,9.80,NC,NC,N,,,,,,,
31/05/2021,8.40,NC,C,N,,,,,,,
28/05/2021,8.60,NC,C,N,,,,,,,
27/05/2021,7.60,NC,C,N,,,,,,,
26/05/2021,7.80,NC,C,N,,,,,,,
25/05/2021,7.60,NC,C,N,,,,,,,
24/05/2021,9.80,NC,NC,N,,,,,,,
21/05/2021,8.00,NC,C,N,,,,,,,
20/05/2021,12.20,NC,NC,N,,,,,,,
19/05/2021,9.00,NC,C,N,,,,,,,
18/05/2021,7.40,NC,C,N,,,,,,,
17/05/2021,8.40,NC,C,N,,,,,,,
14/05/2021,8.60,NC,C,N,,,,,,,
13/05/2021,8.20,NC,C,N,,,,,,,
12/05/2021,9.20,NC,NC,N,,,,,,,
11/05/2021,7.60,NC,C,N,,,,,,,
06/05/2021,9.60,NC,NC,N,,,,,,,
05/05/2021,9.40,NC,NC,N,,,,,,,
04/05/2021,8.80,NC,C,N,,,,,,,
30/04/2021,8.60,NC,C,N,,,,,,,
29/04/2021,8.60,NC,C,N,,,,,,,
28/04/2021,9.20,NC,NC,N,,,,,,,
27/04/2021,8.40,NC,C,N,,,,,,,
23/04/2021,6.40,C,C,N,,,,,,,
21/04/2021,6.80,C,C,N,,,,,,,
20/04/2021,7.60,NC,C,N,,,,,,,
16/04/2021,6.80,C,C,N,,,,,,,
15/04/2021,7.00,C,C,N,,,,,,,
13/04/2021,8.80,NC,C,N,,,,,,,
09/04/2021,8.20,NC,C,N,,,,,,,
08/04/2021,9.30,NC,NC,N,,,,,,,
07/04/2021,7.80,NC,C,N,,,,,,,
06/04/2021,13.50,NC,NC,N,,,,,,,
05/04/2021,11.80,NC,NC,N,,,,,,,
01/04/2021,7.60,NC,C,N,,,,,,,
31/03/2021,7.10,NC,C,N,,,,,,,
29/03/2021,10.00,NC,NC,N,,,,,,,
26/03/2021,10.00,NC,NC,N,,,,,,,
25/03/2021,7.10,NC,C,N,,,,,,,
24/03/2021,8.60,NC,C,N,,,,,,,
23/03/2021,8.90,NC,C,N,,,,,,,
22/03/2021,6.60,C,C,N,,,,,,,
19/03/2021,7.20,NC,C,N,,,,,,,
17/03/2021,9.60,NC,NC,N,,,,,,,
16/03/2021,7.00,C,C,N,,,,,,,
15/03/2021,9.20,NC,NC,N,,,,,,,
12/03/2021,9.00,NC,C,N,,,,,,,
11/03/2021,9.20,NC,NC,N,,,,,,,
10/03/2021,9.60,NC,NC,N,,,,,,,
09/03/2021,10.10,NC,NC,N,,,,,,,
08/03/2021,12.00,NC,NC,N,,,,,,,
05/03/2021,9.60,NC,NC,N,,,,,,,
04/03/2021,8.20,NC,C,N,,,,,,,
03/03/2021,9.40,NC,NC,N,,,,,,,
02/03/2021,8.60,NC,C,N,,,,,,,
